1,A,laptop,1.5974044799804688e-05
1,B,earbuds,9.298324584960938e-06
2,A,laptop,8.58306884765625e-06
2,A,headphones,5.4836273193359375e-06
2,A,tablet,8.106231689453125e-06
2,B,airpods,1.1444091796875e-05
4575,A,phone,7.152557373046875e-06
4575,B,earbuds,7.152557373046875e-06
5,B,android,4.76837158203125e-06
5,A,headphones,7.867813110351562e-06
2,B,airpods,1.0967254638671875e-05
2,A,headphones,1.3113021850585938e-05
9,A,phone,4.76837158203125e-06
9,B,android,8.106231689453125e-06
1,A,headphones,6.198883056640625e-06
1,B,earbuds,1.52587890625e-05
10,A,laptop,5.9604644775390625e-06
10,B,macbook,7.867813110351562e-06
1,A,tablet,5.4836273193359375e-06
1,A,tablet,6.67572021484375e-06
32,A,headphones,4.76837158203125e-06
32,A,laptop,8.106231689453125e-06
