Date,	Open,	High,	Low,	Close,	Volume
07-03-03,822.099976,829.549988,811.22998,828.890015,1368500000
10-03-03,828.890015,828.890015,806.570007,807.47998,1255000000,
11-03-03,807.47998,814.25,800.299988,800.72998,	1427700000
12-03-03,800.72998,804.190002,788.900024,804.190002,1620000000
13-03-03,804.190002,832.02002,804.190002,831.900024,1816300000
14-03-03,831.890015,841.390015,828.26001,833.27002,1541900000
17-03-03,833.27002,862.789978,827.169983,862.789978,1700420000
18-03-03,862.789978,866.940002,857.359985,866.450012,1555100000
19-03-03,866.450012,874.98999,861.210022,874.02002,1473400000
20-03-03,874.02002,879.599976,859.01001,875.669983,1439100000
21-03-03,875.840027,895.900024,875.840027,895.789978,1883710000
24-03-03,895.789978,895.789978,862.02002,864.22998,1293000000
25-03-03,864.22998,879.869995,862.590027,874.73999,1333400000
26-03-03,874.73999,875.799988,866.469971,869.950012,1319700000
27-03-03,869.950012,874.150024,858.090027,868.52002,1232900000
28-03-03,868.52002,869.880005,860.830017,863.5,1227000000
31-03-03,863.5,863.5,843.679993,848.179993,1495500000
01-04-03,848.179993,861.280029,847.849976,858.47998,1461600000
02-04-03,858.47998,884.570007,858.47998,880.900024,1589800000
03-04-03,880.900024,885.890015,876.119995,876.450012,1339500000
04-04-03,876.450012,882.72998,874.22998,878.849976,1241200000
07-04-03,878.849976,904.890015,878.849976,879.929993,1494000000
08-04-03,879.929993,883.109985,874.679993,878.289978,1235400000
09-04-03,878.289978,887.349976,865.719971,865.98999,1293700000
10-04-03,865.98999,871.780029,862.76001,871.580017,1275300000
11-04-03,871.580017,883.340027,865.919983,868.299988,1141600000
14-04-03,868.299988,885.26001,868.299988,885.22998,1131000000
15-04-03,885.22998,891.27002,881.849976,890.809998,1460200000
16-04-03,890.809998,896.77002,877.929993,879.909973,1587600000
17-04-03,879.909973,893.830017,879.200012,893.580017,1430600000
21-04-03,893.580017,898.01001,888.169983,892.01001,1118700000
22-04-03,892.01001,911.73999,886.700012,911.369995,1631200000
23-04-03,911.369995,919.73999,909.890015,919.02002,1667200000
24-04-03,919.02002,919.02002,906.690002,911.429993,1648100000
25-04-03,911.429993,911.429993,897.52002,898.809998,1335800000
28-04-03,898.809998,918.150024,898.809998,914.840027,1273000000
29-04-03,914.840027,924.23999,911.099976,917.840027,1525600000
30-04-03,917.840027,922.01001,911.700012,916.919983,1788510000
01-05-03,916.919983,919.679993,902.830017,916.299988,1397500000
02-05-03,916.299988,930.559998,912.349976,930.080017,1554300000
05-05-03,930.080017,933.880005,924.549988,926.549988,1446300000
06-05-03,926.549988,939.609985,926.380005,934.390015,1649600000
07-05-03,934.390015,937.219971,926.409973,929.619995,1531900000
08-05-03,929.619995,929.619995,919.719971,920.27002,1379600000
